id,principle_statement,verbatim_quote,explicit_or_inferred,confidence,event_date_edtf,audience,verification,fuzzy_score,char_start,char_end,reasoning
102,Constancy and steadfastness in the work of the Lord result in divine blessings.,he is blessed of the Lord for his constancy and steadfastness in the work of the Lord,explicit,0.9,1833-10-05,Oliver Cowdery,exact,,31974,32059,Smith identifies specific character traits—constancy and steadfastness—as the direct cause for being 'blessed of the Lord.'
103,Faithfulness to God can secure spiritual promises and protection for one's posterity.,"he shall be blessed in his generation , and they shall never be cut off",explicit,0.85,1833-10-05,Oliver Cowdery,exact,,32084,32155,"This reflects the theological principle that individual righteousness can result in blessings that extend to future generations, ensuring they are not 'cut off.'"
104,God can transform a forgiven individual into a sign and an ensign to the nations.,He shall be a sign and an ensign unto the nations,explicit,0.9,1833-10-05,Oliver Cowdery,exact,,31907,31956,"The text suggests that through forgiveness and divine favor, an individual can be appointed to a status where they serve as a symbolic standard or 'ensign' for the world."
105,"Faithfulness results in generational blessings, protection from being cut off, and deliverance from troubles.","he shall be blessed in his generation , and they shall never be cut off , and he shall be helped out of many troubles and .",explicit,0.9,1833-10-05,family members and private record,exact,,32084,32207,Joseph Smith explicitly states that the subject will receive blessings for their posterity and divine assistance in times of trouble as a result of their standing.
106,Obedience to divine commandments and counsel leads to a glorious rest.,if he keep s the command ments and harken hearkens unto the council counsel of the Lord his rest shall be glorious .,explicit,0.98,1833-10-05,family members and private record,exact,,32213,32329,The text presents a conditional promise where keeping commandments and listening to God's counsel directly results in the theological reward of a 'glorious rest'.
107,Redemption is found within the house of the Lord.,"they shall yet find redemption in the house of the Lord ,",explicit,0.95,1833-10-05,family members and private record,exact,,32440,32497,Joseph Smith identifies the 'house of the Lord' (temple) as the specific location or means through which individuals obtain redemption.
108,"Posterity is intended to be a source of blessing, joy, and comfort to their parents.","their of f spring s shall be a blessing , a Joy joy, and a comfort unto them blessed .",explicit,0.92,1833-10-05,family members and private record,exact,,32502,32588,This statement defines the spiritual and emotional purpose of children within the family unit from a theological perspective.
109,Benevolence and philanthropy are virtues associated with receiving divine strength and eternal life.,"her soul is ever fill ed with benevolence and phylanthropy philanthrophy, and notwithstanding her age yet she shall receive strength and shall be comferted comforted in the midst of her house , and she shall have eternal life and .",inferred,0.85,1833-10-05,family members and private record,exact,,32617,32848,"While framed as a blessing to his mother, the text logically entails that these specific virtues (benevolence and philanthropy) are characteristics that lead to or are rewarded with eternal life and divine support."
110,Divine providence can bring an end to the afflictions of one's children.,"the hand of the Lord shall be over him , for he shall see the affliction of his children pass away and .",explicit,0.88,1833-10-05,family members and private record,exact,,32881,32985,"The text attributes the removal of a family's suffering to 'the hand of the Lord,' establishing a principle of divine intervention in family afflictions."
111,The Lord provides divine protection and relief from family afflictions to those under His care.,"And blessed is my father , for the hand of the Lord shall be over him , for he shall see the affliction of his children pass away and .",explicit,0.95,1833-10-05,Joseph Smith Sr.,exact,,32850,32985,Joseph Smith explicitly attributes the removal of family suffering to the 'hand of the Lord' being over the individual.
112,A life of righteousness results in a fruitful and abundant legacy in one's later years.,And when his head is fully ripe he shall behold himself as an olive tree whose bran ches are bowed down with much fruit he .,inferred,0.85,1833-10-05,Joseph Smith Sr.,exact,,32987,33111,The metaphor of the olive tree with much fruit represents the spiritual and familial abundance resulting from a life of faith as one reaches old age.
113,The righteous are promised a heavenly dwelling or mansion in the afterlife.,He shall also possess a mansion on high blessed .,explicit,0.98,1833-10-05,Joseph Smith Sr.,exact,,33113,33162,The text directly promises a 'mansion on high' as a consequence of being blessed by the Lord.
114,Integrity of heart is a virtue that merits divine favor and blessing.,Blessed of the Lord is my brothe r Hyram Hyrum for the integrity of his heart he .,explicit,0.95,1833-10-05,Hyrum Smith,exact,,33164,33246,"The blessing is explicitly predicated on the 'integrity of his heart,' establishing a causal link between internal character and divine approval."
115,Truth and faithfulness serve as a source of spiritual power and personal strength.,"He shall be girt about with truth , and faithful ness shall be the strength of his loins .",explicit,0.95,1833-10-05,Hyrum Smith,exact,,33248,33338,Joseph Smith uses the imagery of being 'girt' and 'strength of loins' to describe how truth and faithfulness empower the individual.
116,God utilizes faithful individuals as instruments to execute His judgments across generations.,from From generation to generation he shall be a shaft in the hand of his God to exicute Judgment execute judgment upon his enemies,explicit,0.92,1833-10-05,Hyrum Smith,exact,,33339,33470,The text describes a faithful person as a 'shaft in the hand of his God' specifically for the purpose of executing judgment.
117,The Lord provides divine protection to shield the faithful from being exposed to harm by their enemies.,he shall be hid by the hand of the Lord that none of his secret parts shall be discovered unto his hu r t his .,explicit,0.9,1833-10-05,Hyrum Smith,exact,,33477,33588,This teaches that God actively intervenes to 'hide' or protect the individual from malicious exposure or discovery that would cause hurt.
118,The memory and name of a righteous individual are regarded as a source of blessing by others.,His name shall be accounted a blessing among men and .,explicit,0.88,1833-10-05,Hyrum Smith,exact,,33590,33644,This principle suggests that the reputation of the faithful becomes a communal blessing to humanity.
119,Turning one's mind toward God during periods of intense tribulation provides a shield against the power of Satan.,"And when he is in trouble and great tribulation hath come upon him , he shall remember the God of Jacob and he will shield him from the power of satan Satan and .",explicit,0.98,1833-10-05,Hyrum Smith,exact,,33646,33808,The text explicitly links the act of 'remembering the God of Jacob' during trouble to receiving a 'shield' against 'the power of satan.'
120,Remembering God during times of tribulation provides divine protection from the power of Satan.,"when he is in trouble and great tribulation hath come upon him , he shall remember the God of Jacob and he will shield him from the power of satan",explicit,0.95,1833-10-05,Samuel Smith,exact,,33650,33796,The text explicitly states that the act of remembering God during trials results in being shielded from Satan's power.
121,Receiving counsel in the house of the Most High strengthens an individual's hope.,he shall receive councel counsel in the house of the most high Most High that he may be streng t hened in hope,explicit,0.95,1833-10-05,Samuel Smith,exact,,33814,33924,The text identifies the house of God as a place for receiving counsel that leads to the strengthening of hope.
122,God matures the judgment of those appointed to teach in His house.,the Lord shall ma ture his mind in Judgment judgment,explicit,0.9,1833-10-05,Samuel Smith,exact,,34207,34259,"In the context of being made a teacher in the house of the Lord, the text states that God will mature the individual's judgment."
123,Answers to prayer are obtained through an individual's faithfulness.,he shall obtain answ er to prayer in his faithfulness,explicit,0.95,1833-10-05,Samuel Smith,exact,,34428,34481,The text explicitly links the reception of answers to prayer to the quality of faithfulness.
124,Divine counsel and sacred instruction establish an individual's life path permanently.,that the goings of his feet may be established for ever blessed forever.,inferred,0.85,1833-10-05,Samuel Smith,exact,,33927,33999,The text suggests that the purpose of receiving counsel in the house of the Most High is to ensure one's path is permanently established and blessed.
125,Faithfulness is the prerequisite for receiving answers to prayer.,he shall obtain answ er to prayer in his faithfulness — .,explicit,0.95,1833-10-05,private journal entry regarding family and prophecy,exact,,34428,34485,Joseph Smith directly attributes the ability to obtain answers from God to the individual's attribute of faithfulness.
126,Pride leads an individual to neglect essential spiritual and moral duties.,in the pride of his heart he will neglect the more weighty matters,explicit,0.95,1833-10-05,private journal entry regarding family and prophecy,exact,,34612,34678,"Smith identifies pride as the internal causal factor that results in the neglect of 'weighty matters,' a term typically referring to core religious obligations."
127,The neglect of spiritual duties eventually results in soul-deep sorrow.,neglect the more weighty matters until his soul is bowed down in sorrow,explicit,0.95,1833-10-05,private journal entry regarding family and prophecy,exact,,34646,34717,The text describes a chronological and causal progression where spiritual neglect leads to a state of being 'bowed down' in sorrow.
128,Divine forgiveness is found by returning to God and calling upon His name.,re turn and call on th e name of his God and shall find forgivness,explicit,0.95,1833-10-05,private journal entry regarding family and prophecy,exact,,34743,34809,Smith explicitly outlines the actions of returning and calling upon God as the means by which an individual finds forgiveness.
129,The experience of divine forgiveness empowers an individual to become spiritually valiant.,shall find forgivness forgiveness and shall wax valient therefor valiant.,explicit,0.9,1833-10-05,private journal entry regarding family and prophecy,exact,,34788,34861,"The text suggests that once forgiveness is obtained, the individual 'waxes valiant,' implying that reconciliation with God provides spiritual strength."
130,Repentance and divine forgiveness lead to being saved to the uttermost.,he shall be saved unto the ut ter most uttermost,inferred,0.9,1833-10-05,private journal entry regarding family and prophecy,exact,,34873,34921,The word 'Therefore' at the start of this sentence in the source text links the previous discussion of repentance and forgiveness to the ultimate result of total salvation.
131,Righteousness involves being fearless in avenging the wrongs of the innocent and relieving the oppressed.,Fearless and unda u nted shall they be in battle in avenging the rongs wrongs of th e innocent and relieving the oppressed,explicit,0.9,1833-10-05,private journal entry regarding family and prophecy,exact,,35132,35254,Smith characterizes a righteous generation as being defined by their fearless commitment to justice for the innocent and relief for the oppressed.
132,Righteous individuals have a duty to be fearless in defending the innocent and relieving the oppressed.,Fearless and unda u nted shall they be in battle in avenging the rongs wrongs of th e innocent and relieving the oppressed,explicit,0.9,1833-10-05,private journal/posterity,exact,,35132,35254,"Joseph Smith explicitly describes the character and actions of those who stand against oppression, framing it as a moral or prophetic expectation."
133,God's blessings can remain with a household despite the personal rebellion of an individual within that house.,"the blessings of the God of Jacob shall be in the midst of his house , notwithstan ding his rebelious rebellious heart",explicit,0.95,1833-10-05,private journal/posterity,exact,,35277,35395,This statement suggests a theological principle where covenant blessings or divine favor can persist in a family context even when a specific member is in a state of rebellion.
134,"Salvation and a place in God's kingdom are achieved by being established upon a firm spiritual foundation, referred to as the 'rock of ages.'","establish their feet upon the rock of ages , that they may have place in thy house and be saved in thy Kingdom",explicit,0.95,1833-10-05,prayer to God,exact,,35562,35672,"Smith links the act of being established on the 'rock of ages' directly to the outcome of being saved in the Kingdom of God, defining a requirement for salvation."
135,Intercessory prayer can be used to petition God for the protection and remembrance of one's kindred.,let the residue of my father ’ s house ever come up in remembrance before thee that thou mayest save them from the hand of the oppressor,inferred,0.85,1833-10-05,prayer to God,exact,,35421,35557,"While framed as a personal prayer, the text demonstrates the principle that an individual can appeal to God to intervene on behalf of their family's physical and spiritual safety."
136,Petitions and prayers to God are offered through the mediation or for the sake of Jesus Christ.,And let all these things be even as I have said for Christs Christ’s sake,explicit,1.0,1833-10-05,prayer to God,exact,,35686,35759,"This reflects the theological principle of Christocentric prayer, where the validity or appeal of the petition is based on Christ."
137,Divine blessings for the community of Zion are likened to or delivered by heavenly messengers.,"may God grant it , a blessing for Zion , as a kind Angel angel from heaven",inferred,0.8,1833-10-05,private journal,exact,,36027,36101,"Smith equates the arrival of a blessing or specific news for Zion with the nature of an angelic visitation, suggesting a theology of how God communicates favor to His people."
138,God provides physical safety and protection to individuals and their families in response to prayer.,"O Lord , keep us and my Family family safe untill until I can return to them again .",inferred,0.85,1833-10-05,private journal,exact,,36257,36341,The act of petitioning God for safety implies a theological belief that God intervenes in physical safety based on prayer.
139,Divine mercy is sought and granted through the mediation and sake of Jesus Christ.,have mer cy on my Bretheren brethren in Zion for Christ Sake ’s sake.,inferred,0.95,1833-10-05,private journal,exact,,36357,36426,The use of 'for Christ's sake' as a plea for mercy reflects the foundational principle of intercession through the merits of Jesus Christ.
140,"Collective, unified prayer among believers is a recognized practice for seeking specific divine blessings.",united in prayer and asked the Lord to grant the fol lowing petition,inferred,0.8,1833-10-05,prayer circle of church leaders,exact,,36606,36674,The description of multiple leaders uniting to offer specific petitions suggests a principle regarding the efficacy of group consensus in spiritual matters.
141,God provides divine oversight and watchfulness over individuals.,watch over our per sons,inferred,0.85,1833-10-05,prayer circle of church leaders,exact,,36777,36800,Asking God to 'watch over' individuals implies a belief in personal divine providence and oversight.
142,God may assign angels to protect and watch over individuals and their families.,give his angels cha rge concerning us and our families,inferred,0.95,1833-10-05,prayer circle of church leaders,exact,,36805,36859,The request for angels to have 'charge' over people is a direct reference to the doctrine of angelic protection and ministry.
143,God has the power to protect individuals from unseen or spiritual evils.,no evil nor un seen hand might be permitted to harm us,inferred,0.85,1833-10-05,prayer circle of church leaders,exact,,36867,36921,This petition implies a belief in the existence of hidden or spiritual threats and God's ability to restrain them.
144,Human life is of significant value and is considered precious by God.,That that the Lord would grant that our lives might be precious in his sight,inferred,0.9,1833-10-05,prayer circle of church leaders,exact,,36685,36761,The desire for lives to be 'precious' in God's sight reflects a theological view on the inherent value of human life from a divine perspective.
145,God has the power to preserve the lives of those dedicated to His work.,"That that the Lord would also hold the lives of all the United Firm , and not suffer that any of them shall be taken.",inferred,0.85,1833-10-05,prayer circle of church leaders,exact,,36934,37051,This petition assumes God's sovereignty over the timing of death and His ability to protect a specific group engaged in His service.
146,God has the power to preserve the lives of those engaged in His work.,"the Lord would also hold the lives of all the United Firm , and not suffer that any of them shall be taken.",inferred,0.9,1833-10-05,Participants in a prayer circle,exact,,36944,37051,This petition reflects a theological belief in divine protection and God's sovereignty over life and death for those in His service.
147,God can influence civil authorities and courts to ensure that justice is administered.,"the Lord would fill the heart of the Court court with a spirit to do justice , and cause that the law of the land may be magnified in bringing him to justice.",inferred,0.85,1833-10-05,Participants in a prayer circle,exact,,37293,37451,The request for God to 'fill the heart of the Court' implies a principle that divine influence can extend to secular legal systems to achieve righteous outcomes.
148,The Church relies on divine providence to obtain the means necessary to settle its financial obligations.,"the Lord would provide, in the order of his Providence providence , the bishop of this Church church with means sufficient to discharge every debt that the Firm owes",inferred,0.9,1833-10-05,Participants in a prayer circle,exact,,37473,37638,"By praying for 'means sufficient' through 'Providence,' the text establishes a theological dependence on God for the temporal financial needs of the Church."
149,The failure of the Church to meet its financial obligations brings the institution into disrepute and leads to the affliction of its members.,"discharge every debt that the Firm owes, in due season, that the Church church may not be braught brought into disrepute , and the saints Saints be afflicted by the hands of their enemies.",explicit,0.95,1833-10-05,Participants in a prayer circle,exact,,37599,37787,"The text directly states the negative consequences (disrepute and affliction) of not paying debts, framing financial integrity as a protective principle for the community."
150,God provides the resources necessary for the global dissemination of the gospel.,"give us means to send forth his word, even his gos pel , that the ears of all may hear it",explicit,0.95,1833-10-05,private prayer group,exact,,37883,37972,Joseph Smith's prayer expresses the theological belief that God is the source of the 'means' required to ensure the gospel reaches a global audience.
151,The publication of scripture is intended to enlighten human understanding and reveal truth.,"print his scrip tures; and also that he would give those who were appointed to con duct the press , wisdom sufficient that the cause may not be hindered, but that men’s eyes may thereby be opened to see the truth.",explicit,0.95,1833-10-05,private prayer group,exact,,37995,38208,The text explicitly links the printing of scriptures and the wisdom of those conducting the work to the outcome of opening people's eyes to the truth.
152,Divine wisdom is granted to those appointed to manage the work of the Lord.,"he would give those who were appointed to con duct the press , wisdom sufficient that the cause may not be hindered",explicit,0.9,1833-10-05,private prayer group,exact,,38032,38147,This reflects the principle that God provides specific intellectual or spiritual capacity ('wisdom') to individuals called to specific ecclesiastical or administrative tasks.
153,The Lord will deliver Zion and gather His scattered people into a state of peace.,"the Lord would deliver Zion , and gather in his scattered people , to possess it in peace",explicit,1.0,1833-10-05,private prayer group,exact,,38229,38318,This is a core eschatological principle in Smith's theology regarding the literal gathering of believers and the redemption of a specific location called Zion.
154,God provides physical protection and sustenance for His people during periods of displacement or trial.,"while in their dispersion, that he would provide for them that they perish not with hunger nor cold.",explicit,0.95,1833-10-05,private prayer group,exact,,38330,38430,The prayer articulates a belief in God's providence over the physical needs (food and warmth) of the faithful even when they are scattered or in difficult circumstances.
155,The gathering of the elect is accomplished through the name and authority of Jesus.,God in the name of Jesus would gather his elect speedily,explicit,0.95,1833-10-05,private prayer group,exact,,38450,38506,This principle identifies the Christocentric nature of the gathering of the 'elect' in Latter-day Saint theology.
156,The ultimate destiny of the faithful is to behold God's glory and dwell in His presence.,unveil his face that his saints Saints might behold his glory and dwell with him,explicit,1.0,1833-10-05,private prayer group,exact,,38513,38593,This statement defines the final goal of the Saints' spiritual journey: a literal return to God's presence and the visual manifestation of His glory.
157,Priesthood ordination is conferred through the laying on of hands.,He was ordained to the office of an elder in this Church church under the hand of Sidney Rigdon,inferred,0.9,1833-10-05,personal journal,exact,,38785,38880,"The phrase 'under the hand' describes the physical procedure of ordination, establishing the principle that priesthood offices are conferred through the laying on of hands by one with authority."
158,The Church utilizes a tiered system of ecclesiastical councils to adjudicate matters of discipline and membership standing.,"He was tried before a counsel council of high priests on the 21 st day of June , 1833 , and his license re stored to him again, he previously having been cut off from the Church church by the bishop’s court .",inferred,0.95,1833-10-05,personal journal,exact,,39150,39358,"The mention of both a 'bishop’s court' and a 'council of high priests' as bodies capable of cutting off or restoring members demonstrates the principle of an organized, hierarchical system of church discipline."
159,Priesthood authority and church membership can be restored to an individual after they have been disciplined or removed from the church.,"his license re stored to him again, he previously having been cut off from the Church church",inferred,0.9,1833-10-05,personal journal,exact,,39242,39334,The restoration of Hurlbut's license after he was 'cut off' illustrates the theological principle that church standing and authority are not necessarily permanently lost but can be regained through established procedures.
160,The Lord exercises mercy to deliver His servants and the church from those who seek their destruction.,the Lord has in his mercy Delivered delivered me out of his hand . till until the present and also the church,inferred,0.9,1833-10-05,private journal,exact,,39623,39732,"Joseph Smith attributes the survival of himself and the church to the mercy of the Lord, establishing a theological principle of divine protection against those seeking the destruction of the Saints."
161,Individuals should offer heartfelt gratitude to Almighty God for His acts of divine deliverance.,I off e r the gratitud gratitude of my heart to Allmighty Almighty God for the sam e,inferred,0.85,1833-10-05,private journal,exact,,39817,39901,Smith models the religious principle that divine intervention and protection necessitate a formal and sincere expression of gratitude to the Almighty.
162,Unity among believers is a spiritual prerequisite for effective collective prayer.,being agre e d and united in pray prayer,inferred,0.9,1833-10-05,Oliver Cowdery and Frederick G. Williams,exact,,40042,40082,"Joseph Smith records that the group was 'agreed and united' before presenting their petitions to God, implying that this state of harmony is a necessary or ideal condition for seeking divine intervention."
163,God has the power to influence and soften human hearts to make them receptive to the gospel.,"that God would soften down the hearts of E lijah Smith , J osiah Jones , Lowd Austin Loud & , and Azariah Lyman , and also Bardsley Andrew Beardsley , that they might obey the gospel",explicit,0.95,1833-10-05,Oliver Cowdery and Frederick G. Williams,exact,,40250,40432,"The prayer explicitly asks for God to act upon the hearts of specific individuals for the purpose of bringing them to obedience to the gospel, establishing a theological belief in divine influence over human disposition."
164,God intervenes in legal and temporal conflicts to deliver His servants from their adversaries.,"that God would continu continue to deliver me and my brethr e n from him , that he may not prevail again st us in the law suit lawsuit that is pending",explicit,0.95,1833-10-05,Oliver Cowdery and Frederick G. Williams,exact,,40084,40234,"Joseph Smith petitions God for specific deliverance from a legal opponent, demonstrating a belief that God's providence extends to protecting the Saints in secular and judicial matters."
165,The strengthening and geographic expansion of church stakes is a matter of divine petition and providence.,that this stake may be streng thened and its borders enlarged,explicit,0.9,1833-10-05,Oliver Cowdery and Frederick G. Williams,exact,,40544,40605,"The text identifies the growth and fortification of a 'stake' as a specific goal of prayer, reflecting the theological priority of building up organized centers for the Saints."
166,"If individuals refuse to repent, God may facilitate the transfer of their resources to the faithful to further His work.","if they would not repent , that the lord Lord would send faithful saints Saints to purchase their farms",inferred,0.85,1833-10-05,Oliver Cowdery and Frederick G. Williams,exact,,40438,40541,The prayer suggests a providential view where the refusal of some to join the faith justifies a petition for God to replace them with 'faithful saints' who will use the land to strengthen the church.
167,Prayer should be offered to God in the name of Jesus Christ.,"O Lord , grant it for Christ Sake ’s sake.",explicit,0.98,1833-10-05,Deity,exact,,40609,40651,"Joseph Smith concludes his petition with a formal invocation of Christ's name, demonstrating the theological principle of Christ's role as mediator between God and man."
168,The Sabbath is a designated time for the preaching of the gospel and public religious assembly.,"the Sabath Sabbath, Brother Barly Parley P. Pratt preached in this place and I preached in the evening",inferred,0.9,1833-10-05,Church members,fuzzy,98.0392156862745,41297,41439,"Joseph Smith records the specific practice of holding multiple preaching services on the Sabbath, implying a theological commitment to the day as one of public instruction and worship."
169,A religious community can be evaluated and characterized by the collective strength of its faith.,There is a small church in this place tha t seem s to be strong in th e faith .,inferred,0.85,1833-10-05,Church members,exact,,41456,41535,Smith's observation suggests that faith is not merely an individual attribute but a measurable quality of a congregation that determines its spiritual health.
170,The establishment and support of Zion is a communal religious duty requiring the voluntary commitment of its members.,Started started from home to obtain volenteers volunteers for Zion .,inferred,0.85,1833-10-05,Church members,exact,,40919,40987,The act of traveling specifically to recruit volunteers for Zion indicates a theological priority placed on the physical gathering and defense of a sacred community through voluntary sacrifice.
171,"Divine assistance in communication, known as the gift of utterance, is a spiritual endowment used to fulfill religious missions.","O Oh, may God bless us with the gift of utterance to ac complish the Journy journey and the Errand errand on which we are sent",inferred,0.9,1833-10-05,private journal entry,exact,,41751,41877,"Joseph Smith's prayer identifies the 'gift of utterance' as a specific divine blessing necessary for the successful completion of a spiritual journey or errand, establishing a theological link between divine grace and effective ministry."
172,God is the active agent in preserving the faith of believers and guiding them toward Zion.,"Oh , may God keep them in the faith and save them and lead them to Zion",inferred,0.92,1833-10-05,private journal entry,exact,,41537,41608,"This petition reflects a theological worldview where spiritual perseverance, salvation, and the gathering to Zion are dependent upon God's direct intervention and guidance."
173,The primary purpose of physical health and longevity is to enable individuals to perform good works for the sake of Christ.,bless my little chil dren with health and long life to do good in th this generation for Christ ’ s sake,inferred,0.88,1833-10-05,private journal entry,exact,,41967,42071,"Smith's prayer for his children defines the objective of physical blessings (health and long life) as the performance of Christian service, suggesting a teleological view of human life and health."
174,Divine intervention may be sought through prayer for the physical health and longevity of one's children.,"O Lord , bless my little chil dren with health and long life",explicit,0.95,1833-10-05,Private journal / Deity,exact,,41958,42018,Joseph Smith's direct petition to God for his children's health and life demonstrates a theological belief in petitionary prayer for specific physical outcomes and family well-being.
175,The primary purpose of seeking health and a long life is to perform good works for the benefit of one's contemporaries.,to do good in th this generation,explicit,0.95,1833-10-05,Private journal / Deity,exact,,42019,42051,"Smith explicitly identifies 'doing good' as the teleological objective for requesting health and long life, establishing a moral purpose for physical existence."
176,Petitions to God are properly offered through the mediation or for the sake of Jesus Christ.,for Christ ’ s sake,explicit,0.98,1833-10-05,Private journal / Deity,exact,,42052,42071,The use of this phrase at the conclusion of the prayer indicates a Christocentric theological framework where Christ serves as the mediator for human requests to God.
177,"The redemption of Zion is achieved through specific, divinely appointed means.",the means of her Redemtion,explicit,0.95,1833-10-05,The church members at Freeman Nickerson's house,exact,,43283,43309,"Smith identifies that there are specific 'means' or requirements for Zion's redemption, which he presented as a doctrinal subject to the congregation."
178,God grants temporal and spiritual blessings based on an individual's needs and their worthiness to receive them.,Blessings Both blessings both temporal and spiritual of which we stand in need or are found worthy to receive,explicit,0.95,1833-10-05,Journal readers,exact,,45405,45514,Joseph Smith explicitly categorizes blessings into temporal and spiritual and defines the conditions for receiving them as being based on need and worthiness.
179,Faith in the fullness of the gospel is the prerequisite for seeking the ordinance of baptism.,testified his faith in the ful ness of the gospel and desired to Be Baptised,inferred,0.85,1833-10-05,Journal readers,exact,,45908,45984,"While describing a specific convert, Joseph Smith frames the sequence of conversion as faith in the restored gospel ('fullness') preceding the desire for the ordinance of baptism."
180,Those who wish to obey the gospel should make their intent manifest to the ministry to receive the administration of ordinances.,"if any wished to obey , if they would make it manifest , we would stay to administer",inferred,0.85,1833-10-05,Meeting attendees,exact,,45733,45817,Joseph Smith establishes a pattern where the administration of gospel ordinances is contingent upon the individual's willingness to publicly manifest their desire to obey.
181,Society often prioritizes financial gain over the hospitality and reception due to the disciples of Jesus Christ.,Thus we see that there is is more place for mony money than for Jesus ’s Deciples disciples or the Lamb of God,explicit,0.95,1833-10-05,personal journal reflection,exact,,47471,47581,"Joseph Smith explicitly draws a moral conclusion from his travel experience, contrasting the world's preference for money against its lack of space for the followers of Christ or Christ himself."
182,Disciples of Christ may face repeated rejection when seeking assistance specifically on the basis of their religious identity.,"tryed three times to git keept in the name of Deciples disciples , and could not be keept, kept.",inferred,0.85,1833-10-05,personal journal reflection,fuzzy,90.625,47276,47410,"The text describes a specific instance where the identity of 'disciples' was the grounds for a request that was repeatedly denied, illustrating a principle of religious marginalization or the difficulty of finding faith-based hospitality."
183,The world often prioritizes material wealth over the reception of Jesus Christ and his followers.,there is is more place for mony money than for Jesus ’s Deciples disciples or the Lamb of God,explicit,0.9,1833-10-05,private journal,exact,,47488,47581,"Joseph Smith provides a direct philosophical observation regarding the social preference for money over spiritual figures, characterizing it as a 'thus we see' conclusion from his experiences."
184,The safety and well-being of one's family is a divine blessing from God.,"Found my Family family all well , and the Lord be praised for this blessing",inferred,0.9,1833-10-05,personal journal,exact,,48702,48777,"Joseph Smith attributes the health and safety of his family to the Lord, framing their well-being as a 'blessing' which warrants praise, thus inferring a principle of divine providence in personal life."
185,Gospel preaching is the delivery of the 'word of life.',Preach preach the word of life,inferred,0.85,1833-10-05,personal journal,exact,,48954,48984,"Smith characterizes the act of preaching the gospel as delivering the 'word of life,' a theological descriptor implying that religious instruction is the vehicle for spiritual or eternal life."
186,Finding joy in divine law is a characteristic of a righteous soul.,my Soul My soul delighteth in the Law law of the Lord,explicit,0.95,1833-10-05,personal journal,exact,,49440,49493,Joseph Smith describes the internal spiritual state of delighting in God's law as a positive attribute of his soul.
187,God forgives the sins of those who follow Him.,he forgiveth my sins,explicit,1.0,1833-10-05,personal journal,exact,,49500,49520,Joseph Smith explicitly identifies the Lord as the source of forgiveness for his sins.
188,The Lord confounds the enemies of His servants.,will confound mine Enimies the enemies,explicit,0.95,1833-10-05,personal journal,exact,,49525,49563,Smith expresses a theological conviction that God intervenes to frustrate the efforts of those who oppose His work or His representatives.
189,Those who oppose God's chosen servants face divine destruction.,The Lord shall destroy him who has lifted his heel against me,explicit,0.9,1833-10-05,personal journal,exact,,49566,49627,Smith articulates a principle of divine justice where active opposition to a prophet results in destruction by God.
190,Rebellion against the Almighty results in severe divine judgment.,"he lifted his arm against the Almity Almighty, therefore the Lord shall destroy him",explicit,0.95,1833-10-05,personal journal,exact,,49804,49887,The text establishes a cause-and-effect relationship between the act of 'lifting an arm' against God and the consequence of divine destruction.
191,God can be petitioned to provide the financial means necessary to resolve debt and secure institutional liberty.,bowed down befor e the Lord and prayed that he would furnish the means to deliver the firm Firm from debt and be set at liberty,inferred,0.95,1833-10-05,private council of church leaders,exact,,50517,50644,The act of Joseph Smith and his associates specifically praying for debt relief for the 'Firm' demonstrates a theological belief that God intervenes in temporal and financial obligations.
192,Divine intervention may be sought to grant victory over adversaries and to bring shame upon those perceived as wicked.,prayed... that I may pre vail against that wicked Doctor Philastus Hurlbut and that he be put to shame accordingly,inferred,0.9,1833-10-05,private council of church leaders,fuzzy,95.02262443438913,50622,50760,The prayer for victory over Hurlbut and for his public shaming reflects a principle that God acts as a protector and judge in personal and legal conflicts against opponents of the faith.
193,Bowing down is a proper physical posture to express humility and reverence when praying to God.,bowed down befor e the Lord and prayed,inferred,0.85,1833-10-05,private council of church leaders,exact,,50517,50555,The specific mention of the physical act of bowing before the prayer indicates that this posture is a recognized principle of showing proper respect during supplication.
194,United prayer among a council of leaders is a valid spiritual practice for seeking divine assistance for group needs.,"Brothers Newel K. Whitney , Oliver Cowdery , Frederick G. Williams , Heber C. Kimball , and myself meet met in the councel council room and bowed down befor e the Lord and prayed",inferred,0.9,1833-10-05,private council of church leaders,fuzzy,96.62921348314607,50339,50587,"The assembly of specific high-ranking brethren in a dedicated council room for the purpose of prayer illustrates the principle of collective, united petitioning as a means of obtaining divine favor."
195,God intervenes in human affairs and legal matters in response to prayer,all of which was in answer to our prayer,explicit,0.95,1833-10-05,private journal,exact,,51016,51056,"Joseph Smith directly attributes the favorable court ruling to divine intervention resulting from prayer, establishing a principle of God's responsiveness to specific petitions regarding temporal challenges."
196,Divine intervention and answered prayers warrant expressions of gratitude to God,for which I thank my heavenly father Heaveny Heavenly Father.,explicit,0.95,1833-10-05,private journal,exact,,51059,51120,"Joseph Smith models the theological practice of offering thanks to God as the source of favorable outcomes, framing gratitude as the appropriate response to perceived divine assistance."
197,Individuals within a religious community are assigned specific stewardships for which they are personally responsible.,each one have their stewardship set off to them,inferred,0.9,1833-10-05,United Firm members,exact,,51436,51483,"The text records a council decision to assign individual stewardships, reflecting the theological principle of personal responsibility and management of resources within the community of faith."
